Date,Month,Day,Year,Julian Day,Type,Vessel,Captain,Trip #,Grid #,Consolidated Grid,Location,Consolidated Location,Barbed hook,Trip Length (hr),Ave Depth (ft),No Rods,Bait,Species,2015TagInventory,PredatorData.PredatorID,Length (in),Length (cm),Length (mm),PredGW,GWGroup,Released,Sex,Add'l PH Released,Add'l ATF Released,Weight (lb),Weight (kg),Prey Code,Prey Comments,PredatorData.Comments,Gape Width (mm),Gape Height (mm),Gape Notes,DS = data sheet,Time Caught,2016Modified_PreyCode,Checked,ID,PreyData.PredatorID,Inventory/Discarded,PreyID,Processing Date,Tech,NoPrey,ID_Common,ID_final_Mod,ID_final,ID_final_ITIS,Tax Group,Common Name,Characteristics Used,Total Mass (g),Total Mass (mg),Prey Mass (g),Prey Mass (mg),DigState,PreyData.Comments,Oto Cond - 1,Oto Cond - 2,Oto 1 Mass (mg),Oto 2 Mass (mg),Oto 1 L (mm),Oto 2 L (mm),Oto 1 H (mm),Oto 2 H (mm),Total L (mm),Total L (mm) - No Head,FL (mm),FL (mm) - No Head,Std L (mm),Std L (mm) - No Head,Head L (mm),PreySex,Carap L (mm),Carape W (mm),Abd L (mm),Abd W (mm),Rost L (mm),Prop L (mm) - L,Prop H (mm) - L,Prop L (mm) - R,Prop H (mm) - R,Prop L (mm) - U,Prop H (mm) - U,Mantle L (mm),Arm L (mm),Fin L (mm),Tent L (mm),BW (g),UHL,URL,UCL,UW (g),LHL,UJW,LCL,LW (g),Lens Diam 1 (mm),Lens Diam 2 (mm),Other Measurements,Vertebral Count,Pen L (mm)
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1112,35.47,90.1,901,107.81366,96-115,N,M,,,,,2,"otolith, fish bones, vertebrae",,,,,,,,TRUE,803,1112,TRUE,1112A,7-Sep-16,CB,1,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,4.31,,4.31,,"2: < 5% remaining (beak, spines, otoliths)","subopercle (2), posterior vertebrae, maxilla",good,,285.93,,18.65,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/15,6,30,2015,181,Charter,Ho'okipa,Jon Wilson,,3,B,,N. Lynn Canal,,,350,,,ATF,TRUE,1114,25,63.5,635,131.05765,116-135,N,F,,,5.73,2.6,2,beaks,,137.8,142.4,head frozen,,,1,TRUE,128,1114,TRUE,1114A,26-May-16,SL,1,Squids,Teuthida,Teuthida,82367,Order,"Squid, unidentified",beak shape,0.22,,0.22,,"2: < 5% remaining (beak, spines, otoliths)","squid beak (upper and lower), lower beak missing crest note weight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41,4.88,,,4.72,3.31,11.55,0.04,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,1,B,,N. Lynn Canal,N,,250,,"herring, salmon",PH,TRUE,1115,30.47,77.4,774,92.61684,76-95,N,F,,,,,4,squid,,95.2,94.1,,,,,TRUE,1390,1115,TRUE,1115C,20-Sep-16,CB,3,Crabs/Shrimps,Crustacea,Pleocyemata,96105,Suborder,"Crab, unidentified",crab bits (carapace and legs),42.97,,0.54,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,1,B,,N. Lynn Canal,N,,250,,"herring, salmon",PH,TRUE,1115,30.47,77.4,774,92.61684,76-95,N,F,,,,,4,squid,,95.2,94.1,,,,,TRUE,4,1115,TRUE,1115A,1-May-16,SL,3,Clams/Mussels/Snails,Mollusca,Rossia pacifica,82338,Species,Stubby Squid,"lateral paddle-shaped fins, mantle free all around and rounded at end, cornea over eyes?",42.97,,29.3,,"5: 75-99% remaining (body morph easily distinguishable, some/most skin)","missing eye?, didn't pull beak or eyes for measurements, good reference/full specimen, loose (tiny) suckers",,,,,,,,,150,,,,,,15,,,,,,,,,,,,,47,70,,100,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,1,B,,N. Lynn Canal,N,,250,,"herring, salmon",PH,TRUE,1115,30.47,77.4,774,92.61684,76-95,N,F,,,,,4,squid,,95.2,94.1,,,,,TRUE,176,1115,TRUE,1115B,1-May-16,SL,3,Rockfishes/Sculpins,Scorpaeniformes,Cottidae,167196,Family,"Sculpin, unidentified","otolith shape (see pictoral), vertebral count (> 30, not RF)",42.97,,13.13,,3: 5-49% remaining (some muscle),"lens (2), otolith (2), bits of flesh, vertebral column with flesh attached (partial), misc. bones",good,good,60.6,60.87,8.01,7.76,4.68,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,1,B,,N. Lynn Canal,N,,250,,"herring, salmon",PH,TRUE,1116,32.2,81.8,818,97.88188,96-115,N,F,,,,,2,crab bits,,103.3,86.5,,,,,TRUE,801,1116,TRUE,1116A,7-Sep-16,CB,1,Crabs/Shrimps,Crustacea,Pleocyemata,96105,Suborder,"Crab, unidentified","lens, legs",4.06,,4.06,,"2: < 5% remaining (beak, spines, otoliths)",crab bits and eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,1,B,,N. Lynn Canal,N,,250,,"herring, salmon",PH,TRUE,1118,27.95,71,710,84.9586,76-95,N,F,,,,,2,vertebrae (also had herring head),,85.4,89.6,,,,,TRUE,849,1118,TRUE,1118A,8-Sep-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",vertebrae,0.02,,0.02,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/15,7,25,2015,206,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,300,,"herring, squid",PH,TRUE,1120,,,,,NA,N,U,,,,,3,"fish, crab bits; decapitated head",,,,,,,,TRUE,1841,1120,TRUE,1120C,8-Feb-17,HW,4,Benthic Material,Benthic Material,Ophiuroidea,157325,Class,"Brittle Star, unidentified","central disc, body morphology",55.19,,0.09,,"5: 75-99% remaining (body morph easily distinguishable, some/most skin)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/15,7,25,2015,206,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,300,,"herring, squid",PH,TRUE,1120,,,,,NA,N,U,,,,,3,"fish, crab bits; decapitated head",,,,,,,,TRUE,1842,1120,TRUE,1120D,8-Feb-17,HW,4,Tanner Crab,Chionoecetes bairdi,Chionoecetes bairdi,98429,Species,Tanner Crab,"rostrum shape, M-shaped mouth",55.19,,5.48,,"5: 75-99% remaining (body morph easily distinguishable, some/most skin)","carapace and bits of detached crab legs (well digested), abdomen too soft for width, no propodus",,,,,,,,,,,,,,,,M,26.9,37.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/15,7,25,2015,206,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,300,,"herring, squid",PH,TRUE,1120,,,,,NA,N,U,,,,,3,"fish, crab bits; decapitated head",,,,,,,,TRUE,1839,1120,TRUE,1120A,8-Feb-17,HW,4,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,"otolith shape, robust parapophyses",55.19,,4.64,,3: 5-49% remaining (some muscle),"premaxilla (2), subopercle (2), maxilla (2), dentary, partial vertebrae with some flesh attached, misc. bones, loose vertebrae",fair,,104.58,,12.71,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/15,7,25,2015,206,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,300,,"herring, squid",PH,TRUE,1120,,,,,NA,N,U,,,,,3,"fish, crab bits; decapitated head",,,,,,,,TRUE,1840,1120,TRUE,1120B,8-Feb-17,HW,4,Rockfishes/Sculpins,Scorpaeniformes,Cottidae,167196,Family,"Sculpin, unidentified","preopercle spines, otolith shape, maxilla and premaxilla shape",55.19,,33.26,,"5: 75-99% remaining (body morph easily distinguishable, some/most skin)","otolith pulled, banded caudal fin",excellent,excellent,69.05,69,8.24,8.29,4.76,4.74,172,,,,142,,55.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1121,33.54,85.2,852,101.95032,96-115,N,F,,,16.09,7.3,3,"bones with flesh, cephalopod beak",,80.9,89.4,,,,1,TRUE,251,1121,TRUE,1121B,14-Jul-16,CB,3,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,H-shaped hemal arches,42.35,,0.56,,"2: < 5% remaining (beak, spines, otoliths)","vertebral column, maxilla (016 g)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1121,33.54,85.2,852,101.95032,96-115,N,F,,,16.09,7.3,3,"bones with flesh, cephalopod beak",,80.9,89.4,,,,1,TRUE,252,1121,TRUE,1121A,14-Jul-16,CB,3,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"otolith shape, vertebral shape, club-like post cleithrum, tear drop-shaped first neural arch",42.35,,40.94,,3: 5-49% remaining (some muscle),"lens (2), vert column (# of vert = 33), neural arch teardrop shape",good,good,153.25,,13.81,,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1121,33.54,85.2,852,101.95032,96-115,N,F,,,16.09,7.3,3,"bones with flesh, cephalopod beak",,80.9,89.4,,,,1,TRUE,253,1121,TRUE,1121C,17-Jul-16,CB,3,Squids,Teuthida,Teuthida,82367,Order,"Squid, unidentified","beak shape, cephalopod lenses",42.35,,0.85,,"2: < 5% remaining (beak, spines, otoliths)","squid beak (upper and lower), two large lenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,18.03,5.27,22.26,0.09,6.4,3.82,14.22,0.07,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1122,36.46,92.6,926,110.80516,96-115,N,F,,,,,3,"squid beaks, fish vertebrae",,,,,,,,TRUE,1624,1122,TRUE,1122C,1-Feb-17,CB,6,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,H-shaped hemal arches,43.47,,1.03,,"2: < 5% remaining (beak, spines, otoliths)","partial vertebral column, maxilla, misc. bones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1122,36.46,92.6,926,110.80516,96-115,N,F,,,,,3,"squid beaks, fish vertebrae",,,,,,,,TRUE,1625,1122,TRUE,1122D,1-Feb-17,CB,6,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,"otolith shape, robust parapophyses",43.47,,14.28,,3: 5-49% remaining (some muscle),"head and part of vertebrae with flesh attached, cleithrum(2), premaxilla (2), maxilla (2), lens (2), subopercle (2), misc. bones, otolith pulled, in with 1122F",excellent,excellent,34.14,34.11,8.52,8.72,3.02,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1122,36.46,92.6,926,110.80516,96-115,N,F,,,,,3,"squid beaks, fish vertebrae",,,,,,,,TRUE,1627,1122,TRUE,1122F,1-Feb-17,CB,6,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"otolith shape, club-like post cleithrum",43.47,,0.6,,"2: < 5% remaining (beak, spines, otoliths)","post cleithrum, in with 1122D",good,good,30.55,31.97,8.19,8.28,3.24,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1122,36.46,92.6,926,110.80516,96-115,N,F,,,,,3,"squid beaks, fish vertebrae",,,,,,,,TRUE,1626,1122,TRUE,1122E,1-Feb-17,CB,6,Pacific Cod,Gadus macrocephalus,Gadus macrocephalus,164711,Species,Pacific Cod,"otolith shape, lyre-shaped first neural arch",43.47,,27.06,,3: 5-49% remaining (some muscle),"lens (2), vertebral column, head with flesh, branchiostegal rays, otolith pulled",excellent,excellent,173.46,170.73,14.13,13.8,5.19,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1122,36.46,92.6,926,110.80516,96-115,N,F,,,,,3,"squid beaks, fish vertebrae",,,,,,,,TRUE,1622,1122,TRUE,1122A,1-Feb-17,CB,6,Octopuses,Octopodidae,Octopodidae,82590,Family,"Octopus, unidentified",beak shape,43.47,,0.22,,"2: < 5% remaining (beak, spines, otoliths)",octopus beak (upper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,24.86,0.21,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,260,,salmon,PH,TRUE,1122,36.46,92.6,926,110.80516,96-115,N,F,,,,,3,"squid beaks, fish vertebrae",,,,,,,,TRUE,1623,1122,TRUE,1122B,1-Feb-17,CB,6,Octopuses,Octopodidae,Octopodidae,82590,Family,"Octopus, unidentified",beak shape,43.47,,0.28,,"2: < 5% remaining (beak, spines, otoliths)",octopus beak (upper and lower),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,9.95,,21.54,0.14,6.4,,15.18,0.11,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,240,,"herring, salmon",PH,TRUE,1125,27.72,70.4,704,84.24064,76-95,N,M,,,8.16,3.7,2,vertebrae and other bones,,83.5,73.8,,,,,TRUE,856,1125,TRUE,1125A,8-Sep-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",fish bone,,18.99,0.01899,18.99,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,,,,,N,,,,,PH,TRUE,1126,29.84,75.8,758,90.70228,76-95,N,F,,,11.24,5.1,4,"fish head, maybe old bait",,,,,,,,TRUE,1447,1126,TRUE,1126E,29-Nov-16,CB,5,Benthic Material,Benthic Material,Rock,0,N/A,Rock,,68.41,,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,,,,,N,,,,,PH,TRUE,1126,29.84,75.8,758,90.70228,76-95,N,F,,,11.24,5.1,4,"fish head, maybe old bait",,,,,,,,TRUE,1445,1126,TRUE,1126C,29-Nov-16,CB,5,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,"otolith shape, dentary shape, long and slender rib bones, orange flesh",68.41,,8.77,,3: 5-49% remaining (some muscle),"vertebral column with flesh attached, otolith #2 = crushed",excellent,excellent,3.38,3.28,3.81,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,,,,,N,,,,,PH,TRUE,1126,29.84,75.8,758,90.70228,76-95,N,F,,,11.24,5.1,4,"fish head, maybe old bait",,,,,,,,TRUE,1446,1126,TRUE,1126D,29-Nov-16,CB,5,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,club-like post cleithrum,68.41,,50.3,,3: 5-49% remaining (some muscle),"Just head (old bait?), otolith = excellent/good? Pulled but partially digested",good,good,137.63,134.66,14.46,14.21,5.08,5.38,,,,,,,71.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,,,,,N,,,,,PH,TRUE,1126,29.84,75.8,758,90.70228,76-95,N,F,,,11.24,5.1,4,"fish head, maybe old bait",,,,,,,,TRUE,1443,1126,TRUE,1126A,29-Nov-16,CB,5,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",fish bones,68.41,,2.52,,"2: < 5% remaining (beak, spines, otoliths)",Degraded fish bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,,,,,N,,,,,PH,TRUE,1126,29.84,75.8,758,90.70228,76-95,N,F,,,11.24,5.1,4,"fish head, maybe old bait",,,,,,,,TRUE,1444,1126,TRUE,1126B,29-Nov-16,CB,5,Squids,Teuthida,Teuthida,82367,Order,"Squid, unidentified",beak shape,68.41,,0.06,,"2: < 5% remaining (beak, spines, otoliths)",squid beak (lower),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,,13.36,0.06,,,,,
6/30/15,6,30,2015,181,Charter,Ho'okipa,Jon Wilson,,4,C,,Lynn Canal,,,400,,,ATF,TRUE,1127,20.28,51.5,515,106.29085,96-115,N,,,0,2.65,1.2,2,bones,,100,104.1,head frozen,,,,TRUE,461,1127,TRUE,1127A,29-Jul-16,CB,1,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,2.11,,2.11,,"2: < 5% remaining (beak, spines, otoliths)","dentary, lens, 2 maxilla, miscellaneous bones, loose vertebrae, otolith (2)",good,fair,96.57,35.46,12.63,9.48,4.62,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1131,29.37,74.6,746,89.26636,76-95,N,F,,,9.92,4.5,3,"chunk of flesh, possibly bait",,,,,,,,TRUE,1715,1131,TRUE,1131A,7-Apr-17,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",flesh/skin,22.74,,22.74,,3: 5-49% remaining (some muscle),"old bait!, Arrowtooth flounder?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,225,,squid,PH,TRUE,1134,31.5,80,800,95.728,76-95,N,F,,,10.36,4.7,3,"lots of vertebrae, some flesh, otoliths",,104.6,98.5,,,,,TRUE,1725,1134,TRUE,1134C,7-Apr-17,CB,3,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,19.54,,0.01315,13.15,"2: < 5% remaining (beak, spines, otoliths)","in with 1134B, small otolith",good,,13.15,,5.56,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,225,,squid,PH,TRUE,1134,31.5,80,800,95.728,76-95,N,F,,,10.36,4.7,3,"lots of vertebrae, some flesh, otoliths",,104.6,98.5,,,,,TRUE,1728,1134,TRUE,1134A,7-Apr-17,CB,3,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"club-like post cleithrum, otolith shape",19.54,,16.81,,"2: < 5% remaining (beak, spines, otoliths)","dentary, post cleithrum (2), misc. bones and vertebrae, anguloarticular (2), cleithrum, premaxilla (2), subopercle (2), maxilla (2)",poor,poor,195.61,185.5,16.95,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,225,,squid,PH,TRUE,1134,31.5,80,800,95.728,76-95,N,F,,,10.36,4.7,3,"lots of vertebrae, some flesh, otoliths",,104.6,98.5,,,,,TRUE,1729,1134,TRUE,1134B,7-Apr-17,CB,3,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",fish bones,19.54,,2.72,,"2: < 5% remaining (beak, spines, otoliths)","premaxilla (2), dentary, anguloarticular (2), cleithrum (2), in with 1134C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,2,B,,N. Lynn Canal,N,,320,,herring,PH,TRUE,1135,27.91,70.9,709,84.83894,76-95,N,M,,,8.16,3.7,2,"fin bone, two otoliths",,,,,,,,TRUE,826,1135,TRUE,1135A,7-Sep-16,CB,1,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,0.21,,0.21,,"2: < 5% remaining (beak, spines, otoliths)","otolith (2), both otolith broken, misc. bones",poor,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,225,,squid,PH,TRUE,1136,27.56,70,700,83.762,76-95,N,F,,,7.72,3.5,3,fish,,83.9,77.1,,,,,TRUE,1862,1136,TRUE,1136B,19-Apr-17,CB,2,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,30.65,,0.13,,"2: < 5% remaining (beak, spines, otoliths)",otolith (2),fair,fair,71.14,64.17,11.59,11.67,3.94,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,5,C,,Lynn Canal,N,,225,,squid,PH,TRUE,1136,27.56,70,700,83.762,76-95,N,F,,,7.72,3.5,3,fish,,83.9,77.1,,,,,TRUE,1861,1136,TRUE,1136A,19-Apr-17,CB,2,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"club-like post cleithrum, otolith shape, robust parapophyses",30.65,,30.52,,3: 5-49% remaining (some muscle),"head and most vertebrae with flesh attached, post cleithrum, anguloarticular (2), misc. bones, dentary, maxilla (2), premaxilla, cleithrum, lens, subopercle, loose vertebrae and flesh",excellent,excellent,146.12,158.78,14.37,14.65,5.69,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/15,7,5,2015,186,Personal Use,Private Angler,,,1,B,,N. Lynn Canal,N,,250,,"herring, salmon",PH,TRUE,1137,34.84,88.5,885,105.8991,96-115,N,M,,,,,3,crab,,94.4,90.2,,,,,TRUE,1714,1137,TRUE,1137A,7-Apr-17,CB,1,Tanner Crab,Chionoecetes bairdi,Chionoecetes bairdi,98429,Species,Tanner Crab,"body/leg shape, M-shaped mouth",17.11,,17.11,,"4: 50-74% remaining (body morph distinguishable, little/no skin, intact muscle)","crab carapace and loose legs, carapace too degraded for length measurement, abdomen too soft for width, no propodus",,,,,,,,,,,,,,,,M,,50.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1138,29.33,74.5,745,89.1467,76-95,N,F,,,10.58,4.8,3,"lenses, otolith, bones with flesh",,84.3,79.2,,,,1,TRUE,537,1138,TRUE,1138F,11-Aug-16,CB,6,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,20.51,,0.06,,"2: < 5% remaining (beak, spines, otoliths)",otolith,fair,,63.23,,11.77,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1138,29.33,74.5,745,89.1467,76-95,N,F,,,10.58,4.8,3,"lenses, otolith, bones with flesh",,84.3,79.2,,,,1,TRUE,536,1138,TRUE,1138E,11-Aug-16,CB,6,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,20.51,,0.11,,"2: < 5% remaining (beak, spines, otoliths)","otolith (2), oto1 (H=032L)",good,fair,46.85,50.54,11.34,10.99,3.6,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1138,29.33,74.5,745,89.1467,76-95,N,F,,,10.58,4.8,3,"lenses, otolith, bones with flesh",,84.3,79.2,,,,1,TRUE,532,1138,TRUE,1138A,11-Aug-16,CB,6,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,20.51,,4.01,,3: 5-49% remaining (some muscle),"flat post cleithrum (very small), otolith (2) (pulled, cond 1 and 2 = excellent), lens (2), oto1 (H=040L), oto2 (H=042L)",excellent,excellent,31.91,31.36,8.07,7.85,3.24,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1138,29.33,74.5,745,89.1467,76-95,N,F,,,10.58,4.8,3,"lenses, otolith, bones with flesh",,84.3,79.2,,,,1,TRUE,535,1138,TRUE,1138D,11-Aug-16,CB,6,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,20.51,,5.88,,"2: < 5% remaining (beak, spines, otoliths)","vertebra, premaxilla, dentary, otolith (2) (cond 1 and 2 =good), oto1 (H=038L), oto2 (H=036L)",good,good,41.13,37.81,10.79,10.12,4.09,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1138,29.33,74.5,745,89.1467,76-95,N,F,,,10.58,4.8,3,"lenses, otolith, bones with flesh",,84.3,79.2,,,,1,TRUE,534,1138,TRUE,1138C,11-Aug-16,CB,6,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,20.51,,6,,3: 5-49% remaining (some muscle),"fish w/flesh, complete vertebrae (may be missing one), no head, vertebral count= 50, lens (2), otolith (2) (cond 1 and 2= excellent, pulled), oto2 = (H=044L), otolith 1 = broken",excellent,excellent,32.66,32.95,,7.99,3.23,3.48,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
7/18/15,7,18,2015,199,Personal Use,Private Angler,,,3,B,,N. Lynn Canal,N,,300,,herring,PH,TRUE,1138,29.33,74.5,745,89.1467,76-95,N,F,,,10.58,4.8,3,"lenses, otolith, bones with flesh",,84.3,79.2,,,,1,TRUE,533,1138,TRUE,1138B,11-Aug-16,CB,6,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"otolith shape, tear drop-shaped first neural",20.51,,4.45,,3: 5-49% remaining (some muscle),"lens, vertebral column with flesh attached, dentary ( too degraded to ID), otolith (2) (cond 1 and 2 =excellent, pulled), oto1 (H=039L), oto2 (H=038L)",excellent,excellent,33.93,32.83,8.49,8.4,3.28,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
