Month,Day,Year,Julian Day,Type,Vessel,Captain,Trip #,Grid #,Consolidated Grid,Location,Consolidated Location,Barbed hook,Trip Length (hr),Ave Depth (ft),No Rods,Bait,Date,Species,2015TagInventory,PredatorID,Length (in),Length (cm),Length (mm),PredGW,GWGroup,Released,Sex,Add'l PH Released,Add'l ATF Released,Weight (lb),Weight (kg),Prey Code,Prey Comments,Comments,Gape Width (mm),Gape Height (mm),Gape Notes,DS = data sheet,Time Caught,2016Modified_PreyCode
7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0395,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0817,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0814,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0818,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0811,23.00,58.4,584,120.573038,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0809,23.25,59.1,591,121.8836145,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0812,23.25,59.1,591,121.8836145,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,,Wayne,1,9,F,,Funter Bay,N,0.75,350,4,"salmon, ATF, pollock",7/3/2015,ATF,FALSE,0227,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0805,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, cod",7/3/2015,ATF,FALSE,0411,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0849,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.00,300,4,"skin, cod, salmon",7/3/2015,ATF,TRUE,0386,24.00,61.0,610,125.815344,116-135,Y,,,,,,1,empty,,,,,,,0
7,3,2015,184,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,y,2.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0804,24.25,61.6,616,127.1259205,116-135,Y,,,,,,,,,,,,,,0
7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.00,300,4,"skin, cod, salmon",7/3/2015,ATF,TRUE,0383,25.00,63.5,635,131.05765,116-135,Y,,,,,,1,empty,,,,,,,0
7,3,2015,184,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,1.00,300,4,"skin, cod, salmon",7/3/2015,ATF,FALSE,0382,25.00,63.5,635,131.05765,116-135,Y,,,,,,,,,,,,,,0
7,4,2015,185,Charter,,Wayne,1,9,F,,Funter Bay,N,2.00,350,4,"salmon, ATF",7/4/2015,ATF,FALSE,0238,18.75,47.6,476,98.2932375,96-115,Y,,,,,,,,,,,,,,0
7,4,2015,185,Charter,Kiska Ann,Ben Huntley,1,13,G,,Icy Strait,Y,2.00,350,4,"skin, cod, salmon",7/4/2015,ATF,FALSE,0312,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,0
7,4,2015,185,Charter,Miley T,Brandon Rux,1,13,G,,Icy Strait,Y,3.00,350,4,"skin, cod, salmon",7/4/2015,ATF,FALSE,0927,27.00,68.6,686,141.542262,>136,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0168,17.50,44.5,444,91.740355,76-95,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0868,18.00,45.7,457,94.361508,76-95,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0801,20.50,52.1,521,107.467273,96-115,Y,,0,0,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,2,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,1401,20.50,52.1,521,107.467273,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0859,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0819,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0157,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0821,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0865,21.50,54.6,546,112.709579,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0154,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0152,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0858,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0955,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0957,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0877,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0852,22.75,57.8,578,119.2624615,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0864,22.75,57.8,578,119.2624615,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0803,23.00,58.4,584,120.573038,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,2.50,350,4,"skin, salmon",7/5/2015,ATF,FALSE,1584,23.25,59.1,591,121.8836145,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0885,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0866,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0165,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0896,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0861,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,1,8,E,,Howard Bay,Y,0.50,300,4,"skin, salmon",7/5/2015,ATF,FALSE,0802,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Kaley Y,Kenji Yamada,2,8,E,,Howard Bay,Y,1.50,200,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0871,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0930,23.75,60.3,603,124.5047675,116-135,Y,,1,1,,,,,,,,,,,0
7,5,2015,186,Charter,Miley T,Brandon Rux,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0928,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0167,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0162,24.50,62.2,622,128.436497,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0175,25.75,65.4,654,134.9893795,116-135,Y,,,,,,,,,,,,,,0
7,5,2015,186,Charter,Shelter Lodge,Richard Yamada,1,8,E,,Howard Bay,Y,1.00,350,4,"skin, cod, salmon",7/5/2015,ATF,FALSE,0163,27.75,70.5,705,145.4739915,>136,Y,,,,,,,,,,,,,,0
7,8,2015,189,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,2.25,300,4,"skin, cod, salmon",7/8/2015,ATF,FALSE,0311,21.25,54.0,540,111.3990025,96-115,Y,,,,,,,,,,,,,,0
7,8,2015,189,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,Y,1.25,350,4,"skin, salmon",7/8/2015,ATF,FALSE,0887,22.00,55.9,559,115.330732,96-115,Y,,0,1,,,,,,,,,,,0
7,8,2015,189,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,2.25,300,4,"skin, cod, salmon",7/8/2015,ATF,FALSE,0399,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,8,2015,189,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,2.25,300,4,"skin, cod, salmon",7/8/2015,ATF,FALSE,0387,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,8,2015,189,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,2.25,300,4,"skin, cod, salmon",7/8/2015,ATF,FALSE,0347,23.25,59.1,591,121.8836145,116-135,Y,,,,,,,,,,,,,,0
7,8,2015,189,Charter,Kiska Ann,Ben Huntley,1,9,F,,Funter Bay,Y,2.25,300,4,"skin, cod, salmon",7/8/2015,ATF,FALSE,0323,24.50,62.2,622,128.436497,116-135,Y,,,,,,,,,,,,,,0
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1412,18.00,45.7,457,94.361508,76-95,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1417,19.50,49.5,495,102.224967,96-115,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,0742,20.75,52.7,527,108.7778495,96-115,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1423,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1422,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Miley T,Brandon Rux,1,9,F,,Funter Bay,N,2.00,350,4,"skin, cod, salmon",7/9/2015,ATF,FALSE,0952,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,0
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1454,24.50,62.2,622,128.436497,116-135,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,0737,24.75,62.9,629,129.7470735,116-135,Y,,,,,,,,,,,,,,
7,9,2015,190,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2.50,350,2,"skin, cod, salmon",7/9/2015,ATF,FALSE,1482,25.00,63.5,635,131.05765,116-135,Y,,,,,,,,,,,,,,
7,10,2015,191,Charter,Miley T,Brandon Rux,,9,F,,Funter Bay,N,0.50,350,4,"skin, cod",7/10/2015,ATF,FALSE,0960,19.25,48.9,489,100.9143905,96-115,Y,,,,,,,,,,,,,,0
7,10,2015,191,Charter,Miley T,Brandon Rux,,9,F,,Funter Bay,N,0.50,350,4,"skin, cod",7/10/2015,ATF,FALSE,0937,19.75,50.2,502,103.5355435,96-115,Y,,,,,,,,,,,,,,0
7,10,2015,191,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, salmon, cod",7/10/2015,ATF,FALSE,0851,21.00,53.3,533,110.088426,96-115,Y,,,,,,,,,,,,,,0
7,10,2015,191,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, salmon, cod",7/10/2015,ATF,FALSE,0874,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,10,2015,191,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, salmon, cod",7/10/2015,ATF,FALSE,0890,22.75,57.8,578,119.2624615,116-135,Y,,,,,,,,,,,,,,0
7,10,2015,191,Charter,Miley T,Brandon Rux,,9,F,,Funter Bay,N,0.50,350,4,"skin, cod",7/10/2015,ATF,FALSE,0965,23.75,60.3,603,124.5047675,116-135,Y,,,,,,,,,,,,,,0
7,10,2015,191,Charter,Kaley Y,Kenji Yamada,1,9,F,,Funter Bay,Y,2.00,350,4,"skin, salmon, cod",7/10/2015,ATF,FALSE,0894,25.25,64.1,641,132.3682265,116-135,Y,,,,,,,,,,,,,,0
7,14,2015,195,Charter,Ho'okipa,Jon Wilson,1,4,C,,Lynn Canal,Y,2.50,1400,2,"skin, cod",7/14/2015,ATF,FALSE,1578,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,black cod bycatch,,,,,,
7,14,2015,195,Charter,Ho'okipa,Jon Wilson,1,4,C,,Lynn Canal,Y,2.50,1400,2,"skin, cod",7/14/2015,ATF,FALSE,1582,22.50,57.2,572,117.951885,116-135,Y,,0,0,,,,,black cod bycatch,,,,,,
7,14,2015,195,Charter,Lokahi,Jason Helyer,1,4,C,,Lynn Canal,Y,0.86,375,4,salmon,7/14/2015,ATF,FALSE,0582,25.50,64.8,648,133.678803,116-135,Y,,,,,,,,,,,,,,
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0855,21.25,54.0,540,111.3990025,96-115,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,,Steven Miyaki,1,11,G,,Icy Strait,,3.00,350,4,"cod, salmon",7/15/2015,ATF,FALSE,1430,21.75,55.2,552,114.0201555,96-115,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0891,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0884,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0862,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0881,22.00,55.9,559,115.330732,96-115,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0875,22.50,57.2,572,117.951885,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0878,22.75,57.8,578,119.2624615,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0867,22.75,57.8,578,119.2624615,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0895,23.00,58.4,584,120.573038,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0892,23.25,59.1,591,121.8836145,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0860,23.25,59.1,591,121.8836145,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0876,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0893,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0856,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0899,24.25,61.6,616,127.1259205,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0897,24.25,61.6,616,127.1259205,116-135,Y,,,,,,,,,,,,,,0
7,15,2015,196,Charter,Kaley Y,Kenji Yamada,1,11,G,,Icy Strait,Y,1.00,250,4,"skin, cod, salmon",7/15/2015,ATF,FALSE,0879,26.00,66.0,660,136.299956,>136,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kiska Ann,Ben Huntley,1,13,G,,Icy Strait,Y,2.17,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,1527,18.50,47.0,470,96.982661,96-115,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Lokahi,Jason Helyer,1,9,F,,Funter Bay,,2.41,350,4,salmon,7/16/2015,ATF,FALSE,0522,20.00,50.8,508,104.84612,96-115,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kaley Y,Kenji Yamada,1,13,G,,Icy Strait,Y,1.00,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,0880,20.00,50.8,508,104.84612,96-115,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kiska Ann,Ben Huntley,1,13,G,,Icy Strait,Y,2.17,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,1538,20.25,51.4,514,106.1566965,96-115,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kaley Y,Kenji Yamada,1,13,G,,Icy Strait,Y,1.00,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,1506,20.75,52.7,527,108.7778495,96-115,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kiska Ann,Ben Huntley,1,13,G,,Icy Strait,Y,2.17,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,1548,23.50,59.7,597,123.194191,116-135,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kiska Ann,Ben Huntley,1,13,G,,Icy Strait,Y,2.17,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,1531,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,1.00,1600,2,"skin, cod",7/16/2015,ATF,FALSE,1593,25.00,63.5,635,131.05765,116-135,Y,,,,,,,,black cod bycatch,,,,,,0
7,16,2015,197,Charter,Kaley Y,Kenji Yamada,1,13,G,,Icy Strait,Y,1.00,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,0889,26.50,67.3,673,138.921109,>136,Y,,,,,,,,,,,,,,0
7,16,2015,197,Charter,Kaley Y,Kenji Yamada,1,13,G,,Icy Strait,Y,1.00,350,4,"skin, cod, salmon",7/16/2015,ATF,FALSE,0883,27.25,69.2,692,142.8528385,>136,Y,,,,,,,,,,,,,,0
7,17,2015,198,Charter,Kiska Ann,Ben Huntley,1,2,B,,N. Lynn Canal,Y,2.50,350,4,"skin, cod, salmon",7/17/2015,ATF,FALSE,1532,17.50,44.5,444,91.740355,76-95,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1508,19.25,48.9,489,100.9143905,96-115,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1502,20.50,52.1,521,107.467273,96-115,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1571,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1518,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,,0.67,350,3,"skin, salmon",7/17/2015,ATF,FALSE,1429,22.25,56.5,565,116.6413085,116-135,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,,0.67,350,3,"skin, salmon",7/17/2015,ATF,FALSE,1431,23.00,58.4,584,120.573038,116-135,Y,,2,0,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1504,23.75,60.3,603,124.5047675,116-135,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1507,23.75,60.3,603,124.5047675,116-135,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,,0.67,350,3,"skin, salmon",7/17/2015,ATF,FALSE,1664,24.00,61.0,610,125.815344,116-135,Y,,,,,,,,,,,,,,
7,17,2015,198,Charter,Kaley Y,Kenji Yamada,1,5,C,,Lynn Canal,Y,1.25,300,2,"skin, cod, salmon",7/17/2015,ATF,FALSE,1517,25.00,63.5,635,131.05765,116-135,Y,,,,,,,,,,,,,,
